TIME,BPOGX,BPOGY,aoi,trial,condition,subject_nr
2878.96558,0.50379,0.30143,elsewhere,0,non-restrictive,1
2878.97217,0.50572,0.29752,elsewhere,0,non-restrictive,1
2878.97876,0.50588,0.30521,elsewhere,0,non-restrictive,1
2878.9856,0.50565,0.30229,elsewhere,0,non-restrictive,1
2878.99243,0.48504,0.28641,subject,0,non-restrictive,1
2878.99902,0.49882,0.30841,subject,0,non-restrictive,1
2879.00537,0.49906,0.3114,subject,0,non-restrictive,1
2879.01221,0.51133,0.28682,elsewhere,0,non-restrictive,1
2879.01929,0.51191,0.26853,elsewhere,0,non-restrictive,1
2879.02563,0.5117,0.26253,elsewhere,0,non-restrictive,1
2879.03271,0.51519,0.28441,elsewhere,0,non-restrictive,1
2879.03931,0.51801,0.27225,elsewhere,0,non-restrictive,1
2879.0459,0.51808,0.26907,elsewhere,0,non-restrictive,1
2879.05273,0.51492,0.27624,elsewhere,0,non-restrictive,1
2879.05957,0.525,0.26755,elsewhere,0,non-restrictive,1
2879.06616,0.52476,0.2643,elsewhere,0,non-restrictive,1
2879.07275,0.52179,0.2928,elsewhere,0,non-restrictive,1
2879.07959,0.51477,0.28282,elsewhere,0,non-restrictive,1
2879.08618,0.51507,0.286,elsewhere,0,non-restrictive,1
2879.09302,0.51714,0.29468,elsewhere,0,non-restrictive,1
2879.09961,0.51982,0.28257,elsewhere,0,non-restrictive,1
2879.10645,0.51954,0.27943,elsewhere,0,non-restrictive,1
2879.11304,0.52004,0.3084,elsewhere,0,non-restrictive,1
2879.11987,0.51914,0.28079,elsewhere,0,non-restrictive,1
2879.12646,0.51938,0.28409,elsewhere,0,non-restrictive,1
2879.1333,0.51716,0.28468,elsewhere,0,non-restrictive,1
2879.13989,0.51363,0.30698,elsewhere,0,non-restrictive,1
2879.14648,0.51341,0.30077,elsewhere,0,non-restrictive,1
2879.15332,0.51308,0.2876,elsewhere,0,non-restrictive,1
2879.15942,0.51167,0.28845,elsewhere,0,non-restrictive,1
2879.16675,0.51149,0.28358,elsewhere,0,non-restrictive,1
2879.17334,0.52272,0.23522,elsewhere,0,non-restrictive,1
2879.17993,0.5244,0.24897,elsewhere,0,non-restrictive,1
2879.18652,0.5242,0.24715,elsewhere,0,non-restrictive,1
2879.19336,0.51236,0.24905,elsewhere,0,non-restrictive,1
2879.2002,0.50164,0.25852,subject,0,non-restrictive,1
2879.20703,0.50193,0.265,subject,0,non-restrictive,1
2879.21313,0.50602,0.26444,elsewhere,0,non-restrictive,1
2879.21997,0.48756,0.22236,subject,0,non-restrictive,1
2879.22681,0.48756,0.22527,subject,0,non-restrictive,1
2896.98413,0.50493,0.287,elsewhere,1,restrictive,1
2896.99072,0.50471,0.28181,elsewhere,1,restrictive,1
2896.99731,0.51808,0.28209,elsewhere,1,restrictive,1
2897.00415,0.52458,0.27017,elsewhere,1,restrictive,1
2897.01074,0.52458,0.27017,elsewhere,1,restrictive,1
2897.01758,0.52079,0.27135,elsewhere,1,restrictive,1
2897.02417,0.52516,0.28509,elsewhere,1,restrictive,1
2897.03101,0.52531,0.28728,elsewhere,1,restrictive,1
2897.03711,0.52162,0.23152,elsewhere,1,restrictive,1
2897.04395,0.51935,0.25733,elsewhere,1,restrictive,1
2897.05103,0.51907,0.246,elsewhere,1,restrictive,1
2897.05762,0.51845,0.22462,elsewhere,1,restrictive,1
2897.06445,0.50961,0.16761,elsewhere,1,restrictive,1
2897.07104,0.50961,0.16761,elsewhere,1,restrictive,1
2897.07764,0.50564,0.17434,elsewhere,1,restrictive,1
2897.08447,0.49922,0.16497,subject,1,restrictive,1
2897.09131,0.49946,0.17073,subject,1,restrictive,1
2897.0979,0.51324,0.1694,elsewhere,1,restrictive,1
2897.10474,0.51247,0.19925,elsewhere,1,restrictive,1
2897.11133,0.5123,0.19367,elsewhere,1,restrictive,1
2897.11792,0.50108,0.21435,subject,1,restrictive,1
2897.12476,0.50667,0.19598,elsewhere,1,restrictive,1
2897.13135,0.50647,0.19048,elsewhere,1,restrictive,1
2897.13794,0.51532,0.18689,elsewhere,1,restrictive,1
2897.14478,0.50201,0.21449,subject,1,restrictive,1
2897.15137,0.50201,0.21449,subject,1,restrictive,1
2897.1582,0.49897,0.20689,subject,1,restrictive,1
2897.16504,0.5001,0.16604,subject,1,restrictive,1
2897.17163,0.50034,0.17169,subject,1,restrictive,1
2897.17822,0.51321,0.21165,elsewhere,1,restrictive,1
2897.18457,0.5156,0.23528,elsewhere,1,restrictive,1
2897.19141,0.51575,0.24382,elsewhere,1,restrictive,1
2897.19824,0.50768,0.20977,elsewhere,1,restrictive,1
2897.20459,0.51796,0.23006,elsewhere,1,restrictive,1
2897.21143,0.51816,0.23318,elsewhere,1,restrictive,1
2897.21802,0.51289,0.28249,elsewhere,1,restrictive,1
2897.22461,0.50247,0.26158,subject,1,restrictive,1
2897.23193,0.50204,0.25338,subject,1,restrictive,1
2897.23853,0.51798,0.28332,elsewhere,1,restrictive,1
2897.24512,0.50649,0.23035,elsewhere,1,restrictive,1
2897.25195,0.50657,0.22811,elsewhere,1,restrictive,1
2897.2583,0.50142,0.24566,subject,1,restrictive,1
2897.26489,0.50571,0.26413,elsewhere,1,restrictive,1
2897.27222,0.50547,0.25825,elsewhere,1,restrictive,1
2907.28564,0.50501,-0.00787,elsewhere,2,restrictive,1
2907.29224,0.50192,0.03206,elsewhere,2,restrictive,1
2907.29907,0.50192,0.03206,elsewhere,2,restrictive,1
2907.30615,0.49899,-0.00932,elsewhere,2,restrictive,1
2907.3125,0.49886,-0.00185,elsewhere,2,restrictive,1
2907.31909,0.49886,-0.00185,elsewhere,2,restrictive,1
2907.32593,0.49261,0.05554,elsewhere,2,restrictive,1
2907.33276,0.49265,0.07362,elsewhere,2,restrictive,1
2907.3396,0.49237,0.06724,elsewhere,2,restrictive,1
2907.34619,0.49104,-0.03675,elsewhere,2,restrictive,1
2907.35278,0.49983,-0.05367,elsewhere,2,restrictive,1
2907.35962,0.49983,-0.05367,elsewhere,2,restrictive,1
2907.36621,0.50081,-0.02832,elsewhere,2,restrictive,1
2907.37305,0.49653,0.01548,elsewhere,2,restrictive,1
2907.37964,0.49653,0.01548,elsewhere,2,restrictive,1
2907.38647,0.49064,0.02787,elsewhere,2,restrictive,1
2907.39307,0.49762,0.03705,elsewhere,2,restrictive,1
2907.39966,0.49738,0.03057,elsewhere,2,restrictive,1
2907.40649,0.49932,0.0138,elsewhere,2,restrictive,1
2907.41333,0.48791,-0.00885,elsewhere,2,restrictive,1
2907.41992,0.48791,-0.00885,elsewhere,2,restrictive,1
2907.42651,0.49348,-0.01089,elsewhere,2,restrictive,1
2907.43311,0.49598,0.00587,elsewhere,2,restrictive,1
2907.43945,0.49598,0.00587,elsewhere,2,restrictive,1
2907.44678,0.49388,-0.00196,elsewhere,2,restrictive,1
2907.45361,0.49227,-0.00461,elsewhere,2,restrictive,1
2907.45996,0.49227,-0.00461,elsewhere,2,restrictive,1
2907.4668,0.49305,0.01217,elsewhere,2,restrictive,1
2907.47339,0.49474,-0.00463,elsewhere,2,restrictive,1
2907.48022,0.49473,-0.00102,elsewhere,2,restrictive,1
2907.48706,0.4918,0.00471,elsewhere,2,restrictive,1
2907.49365,0.48496,0.00375,elsewhere,2,restrictive,1
2907.49976,0.48531,0.01153,elsewhere,2,restrictive,1
2907.50708,0.48234,0.04848,elsewhere,2,restrictive,1
2907.51367,0.4941,0.06728,elsewhere,2,restrictive,1
2907.52051,0.4941,0.06728,elsewhere,2,restrictive,1
2907.5271,0.48825,0.05804,elsewhere,2,restrictive,1
2907.53369,0.49492,0.09145,subject,2,restrictive,1
2907.54053,0.49497,0.08819,subject,2,restrictive,1
2907.54712,0.50589,0.08118,elsewhere,2,restrictive,1
2907.55371,0.51004,0.02861,elsewhere,2,restrictive,1
2920.55518,0.51073,0.17035,elsewhere,3,restrictive,1
2920.56201,0.51056,0.16469,elsewhere,3,restrictive,1
2920.5686,0.50628,0.23028,elsewhere,3,restrictive,1
2920.5752,0.5104,0.23886,elsewhere,3,restrictive,1
2920.58203,0.5104,0.23886,elsewhere,3,restrictive,1
2920.58862,0.50201,0.22974,subject,3,restrictive,1
2920.59521,0.50539,0.17917,elsewhere,3,restrictive,1
2920.60205,0.50535,0.18241,elsewhere,3,restrictive,1
2920.60889,0.52104,0.20679,elsewhere,3,restrictive,1
2920.61548,0.50852,0.21686,elsewhere,3,restrictive,1
2920.62207,0.50875,0.22018,elsewhere,3,restrictive,1
2920.62891,0.5083,0.17864,elsewhere,3,restrictive,1
2920.63525,0.5149,0.23715,elsewhere,3,restrictive,1
2920.64233,0.51471,0.23108,elsewhere,3,restrictive,1
2920.64893,0.51468,0.21221,elsewhere,3,restrictive,1
2920.65552,0.51684,0.22351,elsewhere,3,restrictive,1
2920.66235,0.51684,0.22351,elsewhere,3,restrictive,1
2920.66895,0.4948,0.20602,subject,3,restrictive,1
2920.67578,0.50402,0.1686,elsewhere,3,restrictive,1
2920.68237,0.50411,0.16517,elsewhere,3,restrictive,1
2920.68896,0.51363,0.16248,elsewhere,3,restrictive,1
2920.6958,0.5108,0.19171,elsewhere,3,restrictive,1
2920.70215,0.51062,0.18823,elsewhere,3,restrictive,1
2920.70923,0.50852,0.18948,elsewhere,3,restrictive,1
2920.71606,0.49955,0.18622,subject,3,restrictive,1
2920.72266,0.49984,0.19324,subject,3,restrictive,1
2920.72925,0.50823,0.192,elsewhere,3,restrictive,1
2920.7356,0.50847,0.20212,elsewhere,3,restrictive,1
